sample	clone	bulk	scs
0	0;27;35;44;61;74;80;88;96	0.152046	0.152046
0	1;22;33;37;38;55;62;68;87;89;91;93	0.0450346	0.0450346
0	2;11;19;47;51;56;69;75;84	0.129806	0.129806
0	3;28;31;40;48;57;65;66;81;94	0.0517834	0.0517834
0	4;12;32;41;42;50;58;83;86;99	0.0947156	0.0947156
0	5;14;23;34;36;59;60;63;67;72;76;90	0.129989	0.129989
0	6;10;16;26;45;49;53;82;97	0.0961662	0.0961662
0	7;30;46;64;70;78;95	0.048234	0.048234
0	8;13;15;20;39;54;73;79;98	0.191404	0.191404
0	9;17;18;21;24;25;29;43;52;71;77;85;92	0.0608221	0.0608221
