sample	clone	bulk	scs
0	0;23;26;33;54;57;61;71;82;83;91	0.04358	0.04358
0	1;16;20;22;30;55;60;63;85;90;93	0.11581	0.11581
0	2;21;27;29;56;59;62;68;73;80;96;98	0.136809	0.136809
0	3;35;42;46;50;66	0.0614499	0.0614499
0	4;15;24;41;44;58;77;87;95	0.124704	0.124704
0	5;34;37;38;43;72;84	0.0969174	0.0969174
0	6;19;25;39;74;92	0.145364	0.145364
0	7;11;12;14;31;32;36;47;48;52;75;78;79;86;99	0.0946814	0.0946814
0	8;13;18;28;64;65;69;70;76;88;97	0.0705734	0.0705734
0	9;10;17;40;45;49;51;53;67;81;89;94	0.110111	0.110111
